Fecha;Partido;Cancha;Hora;Equipo_numero;Equipo
1;1;1;08:50;1;Manchester City
1;1;1;08:50;2;Celtic
1;2;1;09:50;1;Juventus
1;2;1;09:50;2;Barcelona
1;3;1;10:50;1;Milan
1;3;1;10:50;2;Bayern
1;4;2;08:50;1;Chelsea
1;4;2;08:50;2;Fiorentina
1;5;2;09:50;1;Liverpool
1;5;2;09:50;2;Real Cambridge
2;6;1;08:50;1;Juventus
2;6;1;08:50;2;Bayern
2;7;1;09:50;1;Manchester City
2;7;1;09:50;2;Fiorentina
2;8;2;08:50;1;Milan
2;8;2;08:50;2;Liverpool
2;9;2;09:50;1;Chelsea
2;9;2;09:50;2;Real Cambridge
2;10;2;10:50;1;Barcelona
2;10;2;10:50;2;Celtic
3;11;1;08:50;1;Juventus
3;11;1;08:50;2;Liverpool
3;12;1;09:50;1;Chelsea
3;12;1;09:50;2;Milan
3;13;1;10:50;1;Manchester City
3;13;1;10:50;2;Real Cambridge
3;14;2;08:50;1;Fiorentina
3;14;2;08:50;2;Celtic
3;15;2;09:50;1;Barcelona
3;15;2;09:50;2;Bayern
4;16;1;08:50;1;Barcelona
4;16;1;08:50;2;Liverpool
4;17;1;09:50;1;Juventus
4;17;1;09:50;2;Chelsea
4;18;2;08:50;1;Bayern
4;18;2;08:50;2;Celtic
4;19;2;09:50;1;Fiorentina
4;19;2;09:50;2;Real Cambridge
4;20;2;10:50;1;Manchester City
4;20;2;10:50;2;Milan
5;21;1;08:50;1;Fiorentina
5;21;1;08:50;2;Milan
5;22;1;09:50;1;Manchester City
5;22;1;09:50;2;Juventus
5;23;1;10:50;1;Real Cambridge
5;23;1;10:50;2;Celtic
5;24;2;08:50;1;Bayern
5;24;2;08:50;2;Liverpool
5;25;2;09:50;1;Barcelona
5;25;2;09:50;2;Chelsea
6;26;1;08:50;1;Liverpool
6;26;1;08:50;2;Celtic
6;27;1;09:50;1;Fiorentina
6;27;1;09:50;2;Juventus
6;28;2;08:50;1;Real Cambridge
6;28;2;08:50;2;Milan
6;29;2;09:50;1;Barcelona
6;29;2;09:50;2;Manchester City
6;30;2;10:50;1;Bayern
6;30;2;10:50;2;Chelsea
7;31;1;08:50;1;Milan
7;31;1;08:50;2;Celtic
7;32;1;09:50;1;Bayern
7;32;1;09:50;2;Manchester City
7;33;1;10:50;1;Fiorentina
7;33;1;10:50;2;Barcelona
7;34;2;08:50;1;Real Cambridge
7;34;2;08:50;2;Juventus
7;35;2;09:50;1;Liverpool
7;35;2;09:50;2;Chelsea
8;36;1;08:50;1;Liverpool
8;36;1;08:50;2;Manchester City
8;37;1;09:50;1;Real Cambridge
8;37;1;09:50;2;Barcelona
8;38;2;08:50;1;Bayern
8;38;2;08:50;2;Fiorentina
8;39;2;09:50;1;Milan
8;39;2;09:50;2;Juventus
8;40;2;10:50;1;Chelsea
8;40;2;10:50;2;Celtic
9;41;1;08:50;1;Milan
9;41;1;08:50;2;Barcelona
9;42;1;09:50;1;Juventus
9;42;1;09:50;2;Celtic
9;43;1;10:50;1;Chelsea
9;43;1;10:50;2;Manchester City
9;44;2;08:50;1;Real Cambridge
9;44;2;08:50;2;Bayern
9;45;2;09:50;1;Liverpool
9;45;2;09:50;2;Fiorentina
