Fecha,Partido,Cancha,Hora,Equipo_numero,Grupo,Equipo,Goles,Resultado
1,1,1,8:50,1,2,Manchester City,3,G
1,1,1,8:50,2,2,Borussia Dortmund,0,P
1,2,1,9:50,1,1,Barcelona,2,G
1,2,1,9:50,2,1,Holanda,1,P
1,3,2,8:50,1,1,Real Madrid,1,E
1,3,2,8:50,2,1,Juventus,1,E
2,4,1,8:50,1,1,Chelsea,3,P
2,4,1,8:50,2,1,Juventus,4,G
2,5,1,9:50,1,1,Real Madrid,1,P
2,5,1,9:50,2,1,Holanda,2,G
2,6,2,8:50,1,2,Manchester City,3,G
2,6,2,8:50,2,2,Bayern Munich,1,P
2,7,2,9:50,1,2,Borussia Dortmund,0,P
2,7,2,9:50,2,2,Milan,4,G
3,8,1,8:50,1,1,Juventus,1,P
3,8,1,8:50,2,1,Barcelona,3,G
3,9,1,9:50,1,1,Chelsea,5,G
3,9,1,9:50,2,1,Real Madrid,3,P
3,10,2,8:50,1,2,Manchester City,4,G
3,10,2,8:50,2,2,Milan,3,P
3,11,2,9:50,1,2,Borussia Dortmund,4,G
3,11,2,9:50,2,2,Bayern Munich,2,P
4,12,1,8:50,1,1,Juventus,2,G
4,12,1,8:50,2,1,Holanda,1,P
4,13,1,9:50,1,1,Chelsea,1,E
4,13,1,9:50,2,1,Barcelona,1,E
4,14,2,8:50,1,2,Bayern Munich,0,P
4,14,2,8:50,2,2,Milan,3,G
5,15,1,8:50,1,1,Real Madrid,2,E
5,15,1,8:50,2,1,Barcelona,2,E
5,16,2,8:50,1,2,Chelsea,0,P
5,16,2,8:50,2,2,Holanda,3,G
5,17,2,10:15,1,2,Real Madrid,3,G
5,17,2,10:15,2,2,Bayern Munich,0,P
6,18,1,8:50,1,0,Barcelona,1,G
6,18,1,8:50,2,0,Real Madrid,0,P
6,19,1,9:50,1,0,Juventus,0,P
6,19,1,9:50,2,0,Borussia Dortmund,1,G
6,20,2,8:50,1,0,Holanda,1,P
6,20,2,8:50,2,0,Milan,2,G
6,21,2,9:50,1,0,Chelsea,1,P
6,21,2,9:50,2,0,Manchester City,8,G
7,22,1,8:50,1,0,Barcelona,0,P
7,22,1,8:50,2,0,Borussia Dortmund,3,G
7,23,1,9:50,1,0,Milan,0,P
7,23,1,9:50,2,0,Manchester City,3,G
8,24,1,8:50,1,0,Barcelona,2,G
8,24,1,8:50,2,0,Milan,2,P
8,25,1,9:50,1,0,Borussia Dortmund,3,P
8,25,1,9:50,2,0,Manchester City,3,G
