:START_ID,:END_ID
awardrec_ed_2024_apertura_best_player,team_0006
awardrec_ed_2024_clausura_best_player,team_0005
awardrec_ed_2025_apertura_best_player,team_0012
awardrec_ed_2025_clausura_best_player,team_0001
awardrec_ed_2024_apertura_best_goalkeeper,team_0005
awardrec_ed_2024_clausura_best_goalkeeper,team_0010
awardrec_ed_2025_apertura_best_goalkeeper,team_0012
awardrec_ed_2025_clausura_best_goalkeeper,team_0010
awardrec_ed_2024_apertura_golden_boot_1,team_0001
awardrec_ed_2024_clausura_golden_boot_1,team_0002
awardrec_ed_2024_clausura_golden_boot_2,team_0005
awardrec_ed_2025_apertura_golden_boot_1,team_0005
awardrec_ed_2025_apertura_golden_boot_2,team_0003
awardrec_ed_2025_clausura_golden_boot_1,team_0001
awardrec_ed_2025_clausura_golden_boot_2,team_0001
