:START_ID,:END_ID,EDITION_ID
pl_0001,team_0004,ed_2025_apertura
pl_0001,team_0004,ed_2025_clausura
pl_0001,team_0010,ed_2025_clausura
pl_0003,team_0003,ed_2025_clausura
pl_0005,team_0005,ed_2024_apertura
pl_0005,team_0005,ed_2024_clausura
pl_0005,team_0005,ed_2025_clausura
pl_0012,team_0006,ed_2024_apertura
pl_0012,team_0010,ed_2024_clausura
pl_0012,team_0006,ed_2025_apertura
pl_0012,team_0010,ed_2025_apertura
pl_0012,team_0006,ed_2025_clausura
pl_0012,team_0010,ed_2025_clausura
pl_0014,team_0009,ed_2024_apertura
pl_0014,team_0009,ed_2025_apertura
pl_0014,team_0009,ed_2025_clausura
pl_0015,team_0010,ed_2024_apertura
pl_0017,team_0009,ed_2025_apertura
pl_0018,team_0009,ed_2024_apertura
pl_0020,team_0004,ed_2024_clausura
pl_0020,team_0004,ed_2025_apertura
pl_0020,team_0004,ed_2025_clausura
pl_0021,team_0002,ed_2024_clausura
pl_0021,team_0002,ed_2025_apertura
pl_0021,team_0002,ed_2025_clausura
pl_0022,team_0010,ed_2024_apertura
pl_0022,team_0010,ed_2025_apertura
pl_0023,team_0002,ed_2024_apertura
pl_0023,team_0003,ed_2024_apertura
pl_0026,team_0009,ed_2025_clausura
pl_0027,team_0002,ed_2025_apertura
pl_0027,team_0002,ed_2025_clausura
pl_0029,team_0006,ed_2024_apertura
pl_0029,team_0006,ed_2024_clausura
pl_0029,team_0006,ed_2025_apertura
pl_0029,team_0006,ed_2025_clausura
pl_0031,team_0010,ed_2024_apertura
pl_0032,team_0009,ed_2024_apertura
pl_0032,team_0009,ed_2024_clausura
pl_0033,team_0002,ed_2024_clausura
pl_0034,team_0002,ed_2025_apertura
pl_0034,team_0002,ed_2025_clausura
pl_0035,team_0009,ed_2024_apertura
pl_0035,team_0009,ed_2025_clausura
pl_0039,team_0004,ed_2024_apertura
pl_0039,team_0008,ed_2024_apertura
pl_0039,team_0004,ed_2024_clausura
pl_0039,team_0004,ed_2025_apertura
pl_0039,team_0011,ed_2025_apertura
pl_0039,team_0004,ed_2025_clausura
pl_0039,team_0011,ed_2025_clausura
pl_0041,team_0011,ed_2025_apertura
pl_0042,team_0005,ed_2024_clausura
pl_0044,team_0011,ed_2025_clausura
pl_0049,team_0002,ed_2024_apertura
pl_0049,team_0002,ed_2024_clausura
pl_0049,team_0010,ed_2025_apertura
pl_0049,team_0010,ed_2025_clausura
pl_0050,team_0009,ed_2025_apertura
pl_0050,team_0009,ed_2025_clausura
pl_0051,team_0009,ed_2024_clausura
pl_0051,team_0009,ed_2025_apertura
pl_0053,team_0009,ed_2024_clausura
pl_0054,team_0001,ed_2025_clausura
pl_0055,team_0011,ed_2024_apertura
pl_0055,team_0011,ed_2025_apertura
pl_0058,team_0010,ed_2024_apertura
pl_0061,team_0010,ed_2025_clausura
pl_0063,team_0003,ed_2025_clausura
pl_0066,team_0005,ed_2024_apertura
pl_0069,team_0002,ed_2024_apertura
pl_0069,team_0003,ed_2024_apertura
pl_0069,team_0002,ed_2024_clausura
pl_0069,team_0002,ed_2025_apertura
pl_0069,team_0002,ed_2025_clausura
pl_0069,team_0003,ed_2025_clausura
pl_0070,team_0002,ed_2025_apertura
pl_0073,team_0003,ed_2024_apertura
pl_0073,team_0003,ed_2024_clausura
pl_0073,team_0003,ed_2025_apertura
pl_0073,team_0003,ed_2025_clausura
pl_0075,team_0001,ed_2024_apertura
pl_0075,team_0001,ed_2024_clausura
pl_0075,team_0001,ed_2025_apertura
pl_0075,team_0001,ed_2025_clausura
pl_0085,team_0011,ed_2025_apertura
pl_0085,team_0011,ed_2025_clausura
pl_0091,team_0006,ed_2024_apertura
pl_0092,team_0005,ed_2025_apertura
pl_0093,team_0002,ed_2024_clausura
pl_0093,team_0002,ed_2025_apertura
pl_0093,team_0002,ed_2025_clausura
pl_0094,team_0009,ed_2025_clausura
pl_0096,team_0006,ed_2024_apertura
pl_0096,team_0006,ed_2024_clausura
pl_0096,team_0006,ed_2025_apertura
pl_0100,team_0011,ed_2024_clausura
pl_0101,team_0003,ed_2024_clausura
pl_0101,team_0003,ed_2025_apertura
pl_0101,team_0003,ed_2025_clausura
pl_0103,team_0006,ed_2024_apertura
pl_0103,team_0006,ed_2024_clausura
pl_0103,team_0006,ed_2025_apertura
pl_0103,team_0006,ed_2025_clausura
pl_0107,team_0001,ed_2024_apertura
pl_0107,team_0001,ed_2025_clausura
pl_0109,team_0006,ed_2025_apertura
pl_0109,team_0006,ed_2025_clausura
pl_0110,team_0006,ed_2024_apertura
pl_0114,team_0006,ed_2024_clausura
pl_0115,team_0001,ed_2024_apertura
pl_0115,team_0001,ed_2024_clausura
pl_0116,team_0006,ed_2025_clausura
pl_0130,team_0004,ed_2024_clausura
pl_0132,team_0005,ed_2025_apertura
pl_0132,team_0005,ed_2025_clausura
pl_0135,team_0012,ed_2025_apertura
pl_0135,team_0012,ed_2025_clausura
pl_0145,team_0012,ed_2025_apertura
pl_0146,team_0005,ed_2025_apertura
pl_0146,team_0005,ed_2025_clausura
pl_0149,team_0001,ed_2024_clausura
pl_0149,team_0012,ed_2025_clausura
pl_0150,team_0011,ed_2024_apertura
pl_0157,team_0012,ed_2025_clausura
pl_0160,team_0001,ed_2024_clausura
pl_0160,team_0003,ed_2025_apertura
pl_0160,team_0003,ed_2025_clausura
pl_0161,team_0001,ed_2024_clausura
pl_0161,team_0004,ed_2024_clausura
pl_0161,team_0001,ed_2025_apertura
pl_0161,team_0004,ed_2025_clausura
pl_0163,team_0001,ed_2024_apertura
pl_0163,team_0012,ed_2025_apertura
pl_0163,team_0012,ed_2025_clausura
pl_0164,team_0011,ed_2025_clausura
pl_0166,team_0003,ed_2024_apertura
pl_0166,team_0003,ed_2024_clausura
pl_0166,team_0003,ed_2025_apertura
pl_0166,team_0012,ed_2025_apertura
pl_0166,team_0003,ed_2025_clausura
pl_0166,team_0012,ed_2025_clausura
pl_0169,team_0001,ed_2024_apertura
pl_0169,team_0001,ed_2024_clausura
pl_0169,team_0001,ed_2025_apertura
pl_0169,team_0012,ed_2025_apertura
pl_0169,team_0001,ed_2025_clausura
pl_0169,team_0012,ed_2025_clausura
pl_0170,team_0011,ed_2024_apertura
pl_0171,team_0005,ed_2025_apertura
pl_0172,team_0012,ed_2025_apertura
pl_0177,team_0001,ed_2025_apertura
pl_0177,team_0001,ed_2025_clausura
pl_0178,team_0005,ed_2024_apertura
pl_0178,team_0005,ed_2024_clausura
pl_0178,team_0005,ed_2025_clausura
pl_0182,team_0001,ed_2025_apertura
pl_0183,team_0006,ed_2025_clausura
pl_0184,team_0005,ed_2024_apertura
pl_0184,team_0005,ed_2024_clausura
pl_0184,team_0005,ed_2025_apertura
pl_0184,team_0005,ed_2025_clausura
pl_0185,team_0004,ed_2024_apertura
pl_0185,team_0004,ed_2024_clausura
pl_0189,team_0012,ed_2025_apertura
pl_0189,team_0012,ed_2025_clausura
pl_0194,team_0006,ed_2025_apertura
pl_0211,team_0004,ed_2025_clausura
pl_0214,team_0011,ed_2024_apertura
pl_0214,team_0011,ed_2025_apertura
pl_0214,team_0006,ed_2025_clausura
pl_0220,team_0004,ed_2024_apertura
pl_0227,team_0002,ed_2024_clausura
pl_0227,team_0002,ed_2025_clausura
pl_0232,team_0002,ed_2024_apertura
pl_0171,team_0005,ed_2024_apertura
pl_0171,team_0005,ed_2025_clausura
pl_0079,team_0002,ed_2024_apertura
pl_0236,team_0006,ed_2024_apertura
pl_0084,team_0006,ed_2024_apertura
pl_0084,team_0006,ed_2025_apertura
pl_0084,team_0006,ed_2025_clausura
pl_0238,team_0008,ed_2024_apertura
pl_0239,team_0006,ed_2024_apertura
pl_0240,team_0003,ed_2024_apertura
pl_0026,team_0009,ed_2024_apertura
pl_0026,team_0009,ed_2025_apertura
pl_0021,team_0002,ed_2024_apertura
pl_0244,team_0008,ed_2024_apertura
pl_0007,team_0005,ed_2024_apertura
pl_0007,team_0005,ed_2024_clausura
pl_0007,team_0005,ed_2025_apertura
pl_0246,team_0009,ed_2024_apertura
pl_0247,team_0004,ed_2024_apertura
pl_0248,team_0010,ed_2024_apertura
pl_0057,team_0011,ed_2024_apertura
pl_0250,team_0006,ed_2024_apertura
pl_0171,team_0010,ed_2024_clausura
pl_0171,team_0010,ed_2025_apertura
pl_0171,team_0010,ed_2025_clausura
pl_0084,team_0010,ed_2024_clausura
pl_0084,team_0010,ed_2025_apertura
pl_0084,team_0010,ed_2025_clausura
pl_0253,team_0009,ed_2024_clausura
pl_0055,team_0011,ed_2024_clausura
pl_0255,team_0006,ed_2024_clausura
pl_0123,team_0010,ed_2024_clausura
pl_0045,team_0009,ed_2024_clausura
pl_0258,team_0003,ed_2024_clausura
pl_0259,team_0009,ed_2024_clausura
pl_0123,team_0005,ed_2024_clausura
pl_0262,team_0009,ed_2025_apertura
pl_0263,team_0012,ed_2025_apertura
pl_0026,team_0011,ed_2025_apertura
pl_0064,team_0006,ed_2025_apertura
pl_0100,team_0005,ed_2025_apertura
pl_0100,team_0005,ed_2025_clausura
pl_0267,team_0009,ed_2025_clausura
pl_0066,team_0011,ed_2025_clausura
pl_0269,team_0010,ed_2025_clausura
pl_0270,team_0002,ed_2025_clausura
pl_0271,team_0005,ed_2025_apertura
pl_0089,team_0012,ed_2025_apertura
pl_0015,team_0010,ed_2025_apertura
pl_0275,team_0005,ed_2025_apertura
pl_0111,team_0011,ed_2025_apertura
pl_0125,team_0002,ed_2025_clausura
pl_0009,team_0004,ed_2025_clausura
