:START_ID,:END_ID,TEAM_ID,GOALS,IDENTITY_CONFIDENCE
pl_0075,ed_2024_apertura,team_0001,12,HIGH
pl_0184,ed_2024_apertura,team_0005,5,HIGH
pl_0069,ed_2024_apertura,team_0002,1,HIGH
pl_0069,ed_2024_apertura,team_0003,4,HIGH
pl_0005,ed_2024_apertura,team_0005,5,HIGH
pl_0169,ed_2024_apertura,team_0001,4,MEDIUM
pl_0018,ed_2024_apertura,team_0009,2,HIGH
pl_0032,ed_2024_apertura,team_0009,3,HIGH
pl_0171,ed_2024_apertura,team_0005,2,HIGH
pl_0166,ed_2024_apertura,team_0003,2,MEDIUM
pl_0035,ed_2024_apertura,team_0009,3,HIGH
pl_0079,ed_2024_apertura,team_0002,2,HIGH
pl_0236,ed_2024_apertura,team_0006,2,MEDIUM
pl_0084,ed_2024_apertura,team_0006,2,HIGH
pl_0238,ed_2024_apertura,team_0008,2,MEDIUM
pl_0170,ed_2024_apertura,team_0011,2,MEDIUM
pl_0150,ed_2024_apertura,team_0011,2,MEDIUM
pl_0022,ed_2024_apertura,team_0010,2,HIGH
pl_0073,ed_2024_apertura,team_0003,2,HIGH
pl_0023,ed_2024_apertura,team_0003,1,HIGH
pl_0023,ed_2024_apertura,team_0002,1,HIGH
pl_0232,ed_2024_apertura,team_0002,2,HIGH
pl_0039,ed_2024_apertura,team_0008,1,MEDIUM
pl_0039,ed_2024_apertura,team_0004,1,MEDIUM
pl_0239,ed_2024_apertura,team_0006,1,MEDIUM
pl_0240,ed_2024_apertura,team_0003,1,MEDIUM
pl_0012,ed_2024_apertura,team_0006,1,HIGH
pl_0029,ed_2024_apertura,team_0006,1,HIGH
pl_0066,ed_2024_apertura,team_0005,1,MEDIUM
pl_0178,ed_2024_apertura,team_0005,2,HIGH
pl_0185,ed_2024_apertura,team_0004,1,HIGH
pl_0214,ed_2024_apertura,team_0011,1,HIGH
pl_0115,ed_2024_apertura,team_0001,1,HIGH
pl_0026,ed_2024_apertura,team_0009,1,HIGH
pl_0110,ed_2024_apertura,team_0006,1,HIGH
pl_0014,ed_2024_apertura,team_0009,1,HIGH
pl_0021,ed_2024_apertura,team_0002,1,HIGH
pl_0244,ed_2024_apertura,team_0008,1,MEDIUM
pl_0163,ed_2024_apertura,team_0001,1,MEDIUM
pl_0107,ed_2024_apertura,team_0001,1,HIGH
pl_0007,ed_2024_apertura,team_0005,1,HIGH
pl_0246,ed_2024_apertura,team_0009,1,MEDIUM
pl_0049,ed_2024_apertura,team_0002,1,HIGH
pl_0247,ed_2024_apertura,team_0004,1,MEDIUM
pl_0248,ed_2024_apertura,team_0010,1,MEDIUM
pl_0031,ed_2024_apertura,team_0010,1,HIGH
pl_0058,ed_2024_apertura,team_0010,1,HIGH
pl_0055,ed_2024_apertura,team_0011,1,MEDIUM
pl_0057,ed_2024_apertura,team_0011,1,HIGH
pl_0091,ed_2024_apertura,team_0006,1,MEDIUM
pl_0220,ed_2024_apertura,team_0004,1,HIGH
pl_0015,ed_2024_apertura,team_0010,1,HIGH
pl_0096,ed_2024_apertura,team_0006,1,HIGH
pl_0250,ed_2024_apertura,team_0006,1,MEDIUM
pl_0103,ed_2024_apertura,team_0006,2,MEDIUM
pl_0021,ed_2024_clausura,team_0002,5,MEDIUM
pl_0005,ed_2024_clausura,team_0005,5,HIGH
pl_0184,ed_2024_clausura,team_0005,4,HIGH
pl_0073,ed_2024_clausura,team_0003,4,HIGH
pl_0178,ed_2024_clausura,team_0005,4,HIGH
pl_0169,ed_2024_clausura,team_0001,3,MEDIUM
pl_0012,ed_2024_clausura,team_0010,3,HIGH
pl_0171,ed_2024_clausura,team_0010,3,HIGH
pl_0020,ed_2024_clausura,team_0004,2,HIGH
pl_0029,ed_2024_clausura,team_0006,2,HIGH
pl_0161,ed_2024_clausura,team_0004,2,HIGH
pl_0069,ed_2024_clausura,team_0002,2,HIGH
pl_0100,ed_2024_clausura,team_0011,2,MEDIUM
pl_0166,ed_2024_clausura,team_0003,2,MEDIUM
pl_0096,ed_2024_clausura,team_0006,2,HIGH
pl_0149,ed_2024_clausura,team_0001,2,MEDIUM
pl_0084,ed_2024_clausura,team_0010,2,HIGH
pl_0042,ed_2024_clausura,team_0005,2,HIGH
pl_0253,ed_2024_clausura,team_0009,2,MEDIUM
pl_0007,ed_2024_clausura,team_0005,2,HIGH
pl_0055,ed_2024_clausura,team_0011,1,HIGH
pl_0185,ed_2024_clausura,team_0004,1,HIGH
pl_0093,ed_2024_clausura,team_0002,1,HIGH
pl_0227,ed_2024_clausura,team_0002,1,HIGH
pl_0255,ed_2024_clausura,team_0006,1,MEDIUM
pl_0103,ed_2024_clausura,team_0006,1,MEDIUM
pl_0114,ed_2024_clausura,team_0006,1,HIGH
pl_0115,ed_2024_clausura,team_0001,1,HIGH
pl_0160,ed_2024_clausura,team_0001,1,HIGH
pl_0123,ed_2024_clausura,team_0010,1,HIGH
pl_0051,ed_2024_clausura,team_0009,1,HIGH
pl_0032,ed_2024_clausura,team_0009,1,HIGH
pl_0053,ed_2024_clausura,team_0009,1,HIGH
pl_0045,ed_2024_clausura,team_0009,1,HIGH
pl_0161,ed_2024_clausura,team_0001,1,HIGH
pl_0033,ed_2024_clausura,team_0002,1,HIGH
pl_0039,ed_2024_clausura,team_0004,1,MEDIUM
pl_0130,ed_2024_clausura,team_0004,1,HIGH
pl_0101,ed_2024_clausura,team_0003,1,HIGH
pl_0075,ed_2024_clausura,team_0001,1,HIGH
pl_0258,ed_2024_clausura,team_0003,1,MEDIUM
pl_0049,ed_2024_clausura,team_0002,1,HIGH
pl_0020,ed_2024_clausura,team_0004,1,HIGH
pl_0259,ed_2024_clausura,team_0009,1,MEDIUM
pl_0123,ed_2024_clausura,team_0005,1,HIGH
pl_0034,ed_2025_apertura,team_0002,4,HIGH
pl_0084,ed_2025_apertura,team_0006,3,HIGH
pl_0014,ed_2025_apertura,team_0009,3,HIGH
pl_0262,ed_2025_apertura,team_0009,1,MEDIUM
