:START_ID,:END_ID,GOALS,RESULT,SIDE
team_0005,match_ed_2024_apertura_f01_p001,4.0,G,1
team_0008,match_ed_2024_apertura_f01_p002,1.0,E,1
team_0006,match_ed_2024_apertura_f01_p003,3.0,E,1
team_0011,match_ed_2024_apertura_f01_p004,0.0,P,1
team_0011,match_ed_2024_apertura_f02_p005,1.0,E,1
team_0006,match_ed_2024_apertura_f02_p006,1.0,G,1
team_0009,match_ed_2024_apertura_f02_p007,4.0,G,1
team_0001,match_ed_2024_apertura_f02_p008,4.0,G,1
team_0008,match_ed_2024_apertura_f03_p009,1.0,P,1
team_0006,match_ed_2024_apertura_f03_p010,5.0,G,1
team_0011,match_ed_2024_apertura_f03_p011,2.0,P,1
team_0005,match_ed_2024_apertura_f03_p012,4.0,G,1
team_0004,match_ed_2024_apertura_f04_p013,1.0,P,1
team_0008,match_ed_2024_apertura_f04_p014,2.0,P,1
team_0002,match_ed_2024_apertura_f04_p015,2.0,G,1
team_0005,match_ed_2024_apertura_f04_p016,2.0,E,1
team_0006,match_ed_2024_apertura_f05_p017,1.0,G,1
team_0001,match_ed_2024_apertura_f05_p018,1.0,E,1
team_0011,match_ed_2024_apertura_f05_p019,4.0,E,1
team_0009,match_ed_2024_apertura_f05_p020,1.0,E,1
team_0006,match_ed_2024_apertura_f06_p021,3.0,G,1
team_0001,match_ed_2024_apertura_f06_p022,3.0,G,1
team_0009,match_ed_2024_apertura_f06_p023,2.0,G,1
team_0005,match_ed_2024_apertura_f06_p024,3.0,G,1
team_0009,match_ed_2024_apertura_f07_p025,0.0,P,1
team_0006,match_ed_2024_apertura_f07_p026,3.0,P,1
team_0006,match_ed_2024_apertura_f08_p027,0.0,G,1
team_0001,match_ed_2024_apertura_f08_p028,1.0,G,1
team_0005,match_ed_2024_clausura_f01_p001,3.0,G,1
team_0001,match_ed_2024_clausura_f01_p002,2.0,G,1
team_0006,match_ed_2024_clausura_f01_p003,1.0,E,1
team_0002,match_ed_2024_clausura_f02_p004,3.0,P,1
team_0006,match_ed_2024_clausura_f02_p005,1.0,P,1
team_0005,match_ed_2024_clausura_f02_p006,3.0,G,1
team_0009,match_ed_2024_clausura_f02_p007,0.0,P,1
team_0004,match_ed_2024_clausura_f03_p008,1.0,P,1
team_0002,match_ed_2024_clausura_f03_p009,5.0,G,1
team_0005,match_ed_2024_clausura_f03_p010,4.0,G,1
team_0009,match_ed_2024_clausura_f03_p011,4.0,G,1
team_0004,match_ed_2024_clausura_f04_p012,2.0,G,1
team_0002,match_ed_2024_clausura_f04_p013,1.0,E,1
team_0011,match_ed_2024_clausura_f04_p014,0.0,P,1
team_0006,match_ed_2024_clausura_f05_p015,2.0,E,1
team_0002,match_ed_2024_clausura_f05_p016,0.0,P,1
team_0006,match_ed_2024_clausura_f05_p017,3.0,G,1
team_0001,match_ed_2024_clausura_f06_p018,1.0,G,1
team_0004,match_ed_2024_clausura_f06_p019,0.0,P,1
team_0003,match_ed_2024_clausura_f06_p020,1.0,P,1
team_0002,match_ed_2024_clausura_f06_p021,1.0,P,1
team_0001,match_ed_2024_clausura_f07_p022,0.0,P,1
team_0010,match_ed_2024_clausura_f07_p023,0.0,P,1
team_0001,match_ed_2024_clausura_f08_p024,2.0,G,1
team_0009,match_ed_2024_clausura_f08_p025,3.0,P,1
team_0001,match_ed_2025_apertura_f01_p001,2.0,P,1
team_0003,match_ed_2025_apertura_f01_p002,1.0,P,1
team_0004,match_ed_2025_apertura_f01_p003,1.0,G,1
team_0005,match_ed_2025_apertura_f01_p004,0.0,P,1
team_0002,match_ed_2025_apertura_f02_p005,6.0,G,1
