Fecha;Partido;Cancha;Hora;Equipo_numero;Grupo;Equipo;Goles;Resultado
1;1;1;08:50;1;2;Manchester City;4;G
1;1;1;08:50;2;2;Chelsea;1;P
1;2;1;09:50;1;1;Atletico Madrid;1;E
1;2;1;09:50;2;1;Juventus;1;E
1;3;2;08:50;1;1;Real Madrid;3;E
1;3;2;08:50;2;1;Barcelona;3;E
1;4;2;09:50;1;2;Bayern Munich;0;P
1;4;2;09:50;2;2;Borussia Dortmund;3;G
2;5;1;09:30;1;2;Bayern Munich;1;E
2;5;1;09:30;2;2;Manchester City;1;E
2;6;1;10:30;1;1;Real Madrid;1;G
2;6;1;10:30;2;1;Atletico Madrid;0;P
2;7;2;09:30;1;2;Borussia Dortmund;4;G
2;7;2;09:30;2;2;Holanda;3;P
2;8;2;10:30;1;1;Barcelona;4;G
2;8;2;10:30;2;1;Milan;0;P
3;9;1;09:30;1;1;Atletico Madrid;1;P
3;9;1;09:30;2;1;Milan;2;G
3;10;1;10:30;1;1;Real Madrid;5;G
3;10;1;10:30;2;1;Juventus;1;P
3;11;2;09:30;1;2;Bayern Munich;2;P
3;11;2;09:30;2;2;Chelsea;5;G
3;12;2;10:30;1;2;Manchester City;4;G
3;12;2;10:30;2;2;Holanda;2;P
4;13;1;09:30;1;1;Juventus;1;P
4;13;1;09:30;2;1;Milan;4;G
4;14;1;10:30;1;1;Atletico Madrid;2;P
4;14;1;10:30;2;1;Barcelona;8;G
4;15;2;09:30;1;2;Chelsea;2;G
4;15;2;09:30;2;2;Holanda;1;P
4;16;2;10:30;1;2;Manchester City;2;E
4;16;2;10:30;2;2;Borussia Dortmund;2;E
5;17;1;09:30;1;1;Real Madrid;1;G
5;17;1;09:30;2;1;Milan;0;P
5;18;1;10:30;1;1;Barcelona;1;E
5;18;1;10:30;2;1;Juventus;1;E
5;19;2;09:30;1;2;Bayern Munich;4;E
5;19;2;09:30;2;2;Holanda;4;E
5;20;2;10:30;1;2;Borussia Dortmund;1;E
5;20;2;10:30;2;2;Chelsea;1;E
6;21;1;09:30;1;0;Real Madrid;3;G
6;21;1;09:30;2;0;Bayern Munich;0;P
6;22;1;10:30;1;0;Barcelona;3;G
6;22;1;10:30;2;0;Chelsea;0;P
6;23;2;09:30;1;0;Borussia Dortmund;2;G
6;23;2;09:30;2;0;Milan;1;P
6;24;2;10:30;1;0;Manchester City;3;G
6;24;2;10:30;2;0;Juventus;0;P
7;25;1;09:30;1;0;Borussia Dortmund;0;P
7;25;1;09:30;2;0;Manchester City;2;G
7;26;1;10:30;1;0;Real Madrid;3;P
7;26;1;10:30;2;0;Barcelona;4;G
8;27;2;09:30;1;0;Real Madrid;0;G
8;27;2;09:30;2;0;Borussia Dortmund;0;P
8;28;2;10:30;1;0;Barcelona;1;G
8;28;2;10:30;2;0;Manchester City;1;P
