Fecha,Partido,Cancha,Hora,Equipo_numero,Grupo,Equipo,Goles,Resultado
1,1,1,9:50,1,1,Barcelona,2,P
1,1,1,9:50,2,1,Real Madrid,3,G
1,2,1,8:50,1,1,Liverpool,1,P
1,2,1,8:50,2,1,Milan,4,G
1,3,2,8:50,1,2,Juventus,1,G
1,3,2,8:50,2,2,Bayern Munich,0,P
1,4,2,9:50,1,2,Manchester City,0,P
1,4,2,9:50,2,2,Fiorentina,5,G
2,5,2,8:50,1,1,Chelsea,6,G
2,5,2,8:50,2,1,Milan,0,P
2,6,2,9:50,1,1,Liverpool,2,G
2,6,2,9:50,2,1,Real Madrid,1,P
2,7,1,8:50,1,2,Manchester City,1,G
2,7,1,8:50,2,2,Juventus,0,P
2,8,1,9:50,1,2,Borussia Dortmund,3,G
2,8,1,9:50,2,2,Bayern Munich,1,P
3,9,1,8:50,1,1,Milan,0,P
3,9,1,8:50,2,1,Real Madrid,1,G
3,10,1,9:50,1,1,Barcelona,1,G
3,10,1,9:50,2,1,Chelsea,0,P
3,11,2,8:50,1,2,Bayern Munich,2,P
3,11,2,8:50,2,2,Manchester City,5,G
3,12,2,9:50,1,2,Fiorentina,3,G
3,12,2,9:50,2,2,Borussia Dortmund,0,P
4,13,2,8:50,1,1,Barcelona,0,E
4,13,2,8:50,2,1,Milan,0,E
4,14,2,9:50,1,1,Liverpool,4,E
4,14,2,9:50,2,1,Chelsea,4,E
4,15,1,8:50,1,2,Fiorentina,3,G
4,15,1,8:50,2,2,Bayern Munich,0,P
4,16,1,9:50,1,2,Juventus,2,P
4,16,1,9:50,2,2,Borussia Dortmund,3,G
5,17,1,8:50,1,1,Real Madrid,3,G
5,17,1,8:50,2,1,Chelsea,0,P
5,18,1,9:50,1,1,Barcelona,4,G
5,18,1,9:50,2,1,Liverpool,2,P
5,19,2,8:50,1,2,Fiorentina,3,G
5,19,2,8:50,2,2,Juventus,0,P
5,20,2,9:50,1,2,Borussia Dortmund,1,P
5,20,2,9:50,2,2,Manchester City,2,G
6,21,1,8:50,1,0,Real Madrid,5,G
6,21,1,8:50,2,0,Juventus,2,P
6,22,1,9:50,1,0,Fiorentina,4,G
6,22,1,9:50,2,0,Liverpool,2,P
6,23,2,8:50,1,0,Barcelona,4,G
6,23,2,8:50,2,0,Borussia Dortmund,1,P
6,24,2,9:50,1,0,Manchester City,2,G
6,24,2,9:50,2,0,Chelsea,0,P
7,25,1,8:50,1,0,Real Madrid,0,P
7,25,1,8:50,2,0,Manchester City,3,G
7,26,2,9:50,1,0,Fiorentina,3,G
7,26,2,9:50,2,0,Barcelona,0,P
8,27,2,8:50,1,0,Barcelona,3,G
8,27,2,8:50,2,0,Real Madrid,0,P
9,28,2,9:50,1,0,Fiorentina,0,P
9,28,2,9:50,2,0,Manchester City,1,G

