Fecha,Partido,Cancha,Hora,Equipo_numero,Grupo,Equipo,Goles,Resultado,,
1,1,1,08:50,1,1,Real Cambridge,2,P,,
1,1,1,08:50,2,1,Liverpool,4,G,,
1,2,1,09:50,1,1,Manchester City,3,E,,
1,2,1,09:50,2,1,Chelsea,3,E,,
1,3,2,08:50,1,2,Juventus,1,E,,
1,3,2,08:50,2,2,Fiorentina,1,E,,
1,4,2,09:50,1,2,Borussia Dortmund,0,P,,
1,4,2,09:50,2,2,Barcelona,3,G,,
2,5,1,08:50,1,1,Real Cambridge,0,P,,
2,5,1,08:50,2,1,Manchester City,2,G,,
2,6,1,09:50,1,1,Bayern Munich,0,P,,
2,6,1,09:50,2,1,Liverpool,1,G,,
2,7,2,08:50,1,2,Borussia Dortmund,0,P,,
2,7,2,08:50,2,2,Juventus,11,G,,
2,8,2,09:50,1,2,Milan,0,P,,
2,8,2,09:50,2,2,Barcelona,3,G,,
3,9,1,08:50,1,1,Bayern Munich,0,P,,
3,9,1,08:50,2,1,Manchester City,3,G,,
3,10,1,09:50,1,1,Chelsea,2,G,,
3,10,1,09:50,2,1,Real Cambridge,1,P,,
3,11,2,08:50,1,2,Milan,0,P,,
3,11,2,08:50,2,2,Juventus,3,G,,
3,12,2,09:50,1,2,Fiorentina,4,G,,
3,12,2,09:50,2,2,Borussia Dortmund,3,P,,
4,13,1,08:50,1,1,Bayern Munich,0,E,,
4,13,1,08:50,2,1,Chelsea,0,E,,
4,14,1,09:50,1,1,Liverpool,3,G,,
4,14,1,09:50,2,1,Manchester City,1,P,,
4,15,2,08:50,1,2,Milan,1,P,,
4,15,2,08:50,2,2,Fiorentina,3,G,,
4,16,2,09:50,1,2,Barcelona,5,G,,
4,16,2,09:50,2,2,Juventus,0,P,,
5,17,1,08:50,1,1,Chelsea,,,,
5,17,1,08:50,2,1,Liverpool,,,,
5,18,1,09:50,1,1,Bayern Munich,,,,
5,18,1,09:50,2,1,Real Cambridge,,,,
5,19,2,08:50,1,2,Fiorentina,,,,
5,19,2,08:50,2,2,Barcelona,,,,
5,20,2,09:50,1,2,Milan,,,,
5,20,2,09:50,2,2,Borussia Dortmund,,,,
6,21,1,08:50,1,0,,,,,
6,21,1,08:50,2,0,,,,,
6,22,1,09:50,1,0,,,,,
6,22,1,09:50,2,0,,,,,
6,23,2,08:50,1,0,,,,,
6,23,2,08:50,2,0,,,,,
6,24,2,09:50,1,0,,,,,
6,24,2,09:50,2,0,,,,,
7,25,1,08:50,1,0,,,,,
7,25,1,08:50,2,0,,,,,
7,26,2,09:50,1,0,,,,,
7,26,2,09:50,2,0,,,,,
8,27,2,08:50,1,0,,,,,
8,27,2,08:50,2,0,,,,,
8,28,1,09:50,1,0,,,,,
8,28,1,09:50,2,0,,,,,
9,29,2,08:50,1,0,,,,,
9,29,2,08:50,2,0,,,,,
9,30,1,09:50,1,0,,,,,
9,30,1,09:50,2,0,,,,,

