AWARD_RECORD_ID,AWARD_TYPE,AWARD_NAME,DERIVATION,IDENTITY_CONFIDENCE
awardrec_ed_2024_apertura_best_player,BEST_PLAYER,Mejor Jugador,USER_PROVIDED,HIGH
awardrec_ed_2024_clausura_best_player,BEST_PLAYER,Mejor Jugador,USER_PROVIDED,HIGH
awardrec_ed_2025_apertura_best_player,BEST_PLAYER,Mejor Jugador,USER_PROVIDED,HIGH
awardrec_ed_2025_clausura_best_player,BEST_PLAYER,Mejor Jugador,USER_PROVIDED,MEDIUM
awardrec_ed_2024_apertura_best_goalkeeper,BEST_GOALKEEPER,Mejor Arquero,USER_PROVIDED,HIGH
awardrec_ed_2024_clausura_best_goalkeeper,BEST_GOALKEEPER,Mejor Arquero,USER_PROVIDED,HIGH
awardrec_ed_2025_apertura_best_goalkeeper,BEST_GOALKEEPER,Mejor Arquero,USER_CONFIRMED_CORRECTION,HIGH
awardrec_ed_2025_clausura_best_goalkeeper,BEST_GOALKEEPER,Mejor Arquero,USER_PROVIDED,HIGH
awardrec_ed_2024_apertura_golden_boot_1,GOLDEN_BOOT,Botin de Oro CLC,DERIVED_MAX_GOALS=12,HIGH
awardrec_ed_2024_clausura_golden_boot_1,GOLDEN_BOOT,Botin de Oro CLC,DERIVED_MAX_GOALS=5,MEDIUM
awardrec_ed_2024_clausura_golden_boot_2,GOLDEN_BOOT,Botin de Oro CLC,DERIVED_MAX_GOALS=5,HIGH
awardrec_ed_2025_apertura_golden_boot_1,GOLDEN_BOOT,Botin de Oro CLC,DERIVED_MAX_GOALS=7,HIGH
awardrec_ed_2025_apertura_golden_boot_2,GOLDEN_BOOT,Botin de Oro CLC,DERIVED_MAX_GOALS=7,HIGH
awardrec_ed_2025_clausura_golden_boot_1,GOLDEN_BOOT,Botin de Oro CLC,DERIVED_MAX_GOALS=7,HIGH
awardrec_ed_2025_clausura_golden_boot_2,GOLDEN_BOOT,Botin de Oro CLC,DERIVED_MAX_GOALS=7,MEDIUM
