MATCH_ID,FECHA,PARTIDO,SPECIAL_NAME,CANCHA,HORA,GOALS_TEAM_1,GOALS_TEAM_2,RESULT_TEAM_1,RESULT_TEAM_2,WINNER_TEAM_ID,RESOLUTION_METHOD,DATA_QUALITY_STATUS,SOURCE_FILE
match_ed_2024_apertura_f01_p001,1,1,,1,08:50,4.0,1.0,G,P,team_0005,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f01_p002,1,2,,1,09:50,1.0,1.0,E,E,,DRAW,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f01_p003,1,3,,2,08:50,3.0,3.0,E,E,,DRAW,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f01_p004,1,4,,2,09:50,0.0,3.0,P,G,team_0009,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f02_p005,2,5,,1,09:30,1.0,1.0,E,E,,DRAW,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f02_p006,2,6,,1,10:30,1.0,0.0,G,P,team_0006,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f02_p007,2,7,,2,09:30,4.0,3.0,G,P,team_0009,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f02_p008,2,8,,2,10:30,4.0,0.0,G,P,team_0001,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f03_p009,3,9,,1,09:30,1.0,2.0,P,G,team_0010,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f03_p010,3,10,,1,10:30,5.0,1.0,G,P,team_0006,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f03_p011,3,11,,2,09:30,2.0,5.0,P,G,team_0002,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f03_p012,3,12,,2,10:30,4.0,2.0,G,P,team_0005,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f04_p013,4,13,,1,09:30,1.0,4.0,P,G,team_0010,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f04_p014,4,14,,1,10:30,2.0,8.0,P,G,team_0001,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f04_p015,4,15,,2,09:30,2.0,1.0,G,P,team_0002,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f04_p016,4,16,,2,10:30,2.0,2.0,E,E,,DRAW,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f05_p017,5,17,,1,09:30,1.0,0.0,G,P,team_0006,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f05_p018,5,18,,1,10:30,1.0,1.0,E,E,,DRAW,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f05_p019,5,19,,2,09:30,4.0,4.0,E,E,,DRAW,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f05_p020,5,20,,2,10:30,1.0,1.0,E,E,,DRAW,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f06_p021,6,21,,1,09:30,3.0,0.0,G,P,team_0006,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f06_p022,6,22,,1,10:30,3.0,0.0,G,P,team_0001,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f06_p023,6,23,,2,09:30,2.0,1.0,G,P,team_0009,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f06_p024,6,24,,2,10:30,3.0,0.0,G,P,team_0005,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f07_p025,7,25,,1,09:30,0.0,2.0,P,G,team_0005,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f07_p026,7,26,,1,10:30,3.0,4.0,P,G,team_0001,REGULAR_TIME,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f08_p027,8,27,,2,09:30,0.0,0.0,G,P,team_0006,PENALTIES,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_apertura_f08_p028,8,28,,2,10:30,1.0,1.0,G,P,team_0001,PENALTIES,OK,Partidos_apertura_2024_CLC_1.csv
match_ed_2024_clausura_f01_p001,1,1,,1,8:50,3.0,0.0,G,P,team_0005,REGULAR_TIME,OK,Partidos_clausura_2024_CLC_1.csv
match_ed_2024_clausura_f01_p002,1,2,,1,9:50,2.0,1.0,G,P,team_0001,REGULAR_TIME,OK,Partidos_clausura_2024_CLC_1.csv
match_ed_2024_clausura_f01_p003,1,3,,2,8:50,1.0,1.0,E,E,,DRAW,OK,Partidos_clausura_2024_CLC_1.csv
match_ed_2024_clausura_f02_p004,2,4,,1,8:50,3.0,4.0,P,G,team_0004,REGULAR_TIME,OK,Partidos_clausura_2024_CLC_1.csv
match_ed_2024_clausura_f02_p005,2,5,,1,9:50,1.0,2.0,P,G,team_0003,REGULAR_TIME,OK,Partidos_clausura_2024_CLC_1.csv
match_ed_2024_clausura_f02_p006,2,6,,2,8:50,3.0,1.0,G,P,team_0005,REGULAR_TIME,OK,Partidos_clausura_2024_CLC_1.csv
match_ed_2024_clausura_f02_p007,2,7,,2,9:50,0.0,4.0,P,G,team_0010,REGULAR_TIME,OK,Partidos_clausura_2024_CLC_1.csv
