:START_ID,:END_ID,TEAM_ID,YELLOW_CARDS,RED_CARDS,RED_CARD_TYPE,IDENTITY_CONFIDENCE
pl_0161,match_ed_2025_apertura_f01_p001,team_0001,0,1,DIRECT,HIGH
pl_0084,match_ed_2025_apertura_f01_p001,team_0006,1,0,NONE,MEDIUM
pl_0064,match_ed_2025_apertura_f01_p001,team_0006,0,1,DIRECT,MEDIUM
pl_0015,match_ed_2025_apertura_f01_p002,team_0010,1,0,NONE,MEDIUM
pl_0001,match_ed_2025_apertura_f01_p003,team_0004,1,0,NONE,HIGH
pl_0055,match_ed_2025_apertura_f01_p003,team_0011,1,0,NONE,HIGH
pl_0171,match_ed_2025_apertura_f01_p004,team_0005,1,0,NONE,HIGH
pl_0271,match_ed_2025_apertura_f01_p004,team_0005,1,0,NONE,MEDIUM
pl_0089,match_ed_2025_apertura_f01_p004,team_0012,1,0,NONE,MEDIUM
pl_0096,match_ed_2025_apertura_f02_p006,team_0006,1,0,NONE,HIGH
pl_0084,match_ed_2025_apertura_f02_p006,team_0006,1,0,NONE,MEDIUM
pl_0092,match_ed_2025_apertura_f02_p007,team_0005,1,0,NONE,HIGH
pl_0132,match_ed_2025_apertura_f02_p007,team_0005,1,0,NONE,HIGH
pl_0039,match_ed_2025_apertura_f02_p008,team_0011,1,0,NONE,HIGH
pl_0051,match_ed_2025_apertura_f02_p008,team_0009,1,0,NONE,HIGH
pl_0055,match_ed_2025_apertura_f02_p008,team_0011,1,0,NONE,HIGH
pl_0075,match_ed_2025_apertura_f03_p010,team_0001,1,0,NONE,HIGH
pl_0041,match_ed_2025_apertura_f03_p011,team_0011,2,1,SECOND_YELLOW,HIGH
pl_0132,match_ed_2025_apertura_f03_p011,team_0005,1,0,NONE,HIGH
pl_0275,match_ed_2025_apertura_f03_p011,team_0005,1,0,NONE,MEDIUM
pl_0014,match_ed_2025_apertura_f03_p012,team_0009,1,0,NONE,HIGH
pl_0017,match_ed_2025_apertura_f03_p012,team_0009,0,1,DIRECT,HIGH
pl_0051,match_ed_2025_apertura_f03_p012,team_0009,1,0,NONE,HIGH
pl_0145,match_ed_2025_apertura_f03_p012,team_0012,2,1,SECOND_YELLOW,HIGH
pl_0050,match_ed_2025_apertura_f03_p012,team_0009,1,0,NONE,MEDIUM
pl_0022,match_ed_2025_apertura_f04_p013,team_0010,2,1,SECOND_YELLOW,HIGH
pl_0012,match_ed_2025_apertura_f04_p013,team_0010,1,0,NONE,MEDIUM
pl_0027,match_ed_2025_apertura_f04_p014,team_0002,1,0,NONE,HIGH
pl_0073,match_ed_2025_apertura_f04_p014,team_0003,1,0,NONE,HIGH
pl_0166,match_ed_2025_apertura_f04_p014,team_0003,1,0,NONE,HIGH
pl_0111,match_ed_2025_apertura_f04_p015,team_0011,1,0,NONE,MEDIUM
pl_0039,match_ed_2025_apertura_f04_p016,team_0004,1,0,NONE,HIGH
pl_0101,match_ed_2025_clausura_f01_p001,team_0003,1,0,NONE,HIGH
pl_0125,match_ed_2025_clausura_f01_p002,team_0002,1,0,NONE,MEDIUM
pl_0183,match_ed_2025_clausura_f02_p005,team_0006,1,0,NONE,HIGH
pl_0100,match_ed_2025_clausura_f02_p005,team_0005,1,0,NONE,MEDIUM
pl_0003,match_ed_2025_clausura_f02_p006,team_0003,1,0,NONE,HIGH
pl_0039,match_ed_2025_clausura_f02_p006,team_0011,1,0,NONE,HIGH
pl_0101,match_ed_2025_clausura_f02_p006,team_0003,1,0,NONE,HIGH
pl_0014,match_ed_2025_clausura_f02_p007,team_0009,1,0,NONE,HIGH
pl_0009,match_ed_2025_clausura_f02_p007,team_0004,1,0,NONE,MEDIUM
pl_0001,match_ed_2025_clausura_f02_p008,team_0010,1,0,NONE,HIGH
pl_0061,match_ed_2025_clausura_f02_p008,team_0010,1,0,NONE,HIGH
pl_0164,match_ed_2025_clausura_f03_p009,team_0011,1,0,NONE,HIGH
pl_0227,match_ed_2025_clausura_f03_p010,team_0002,2,1,SECOND_YELLOW,HIGH
pl_0026,match_ed_2025_clausura_f03_p012,team_0009,1,0,NONE,HIGH
pl_0050,match_ed_2025_clausura_f03_p012,team_0009,1,0,NONE,HIGH
pl_0094,match_ed_2025_clausura_f03_p012,team_0009,1,0,NONE,HIGH
pl_0135,match_ed_2025_clausura_f03_p012,team_0012,1,0,NONE,HIGH
pl_0169,match_ed_2025_clausura_f03_p012,team_0012,1,0,NONE,HIGH
pl_0085,match_ed_2025_clausura_f04_p013,team_0011,1,0,NONE,HIGH
pl_0160,match_ed_2025_clausura_f04_p014,team_0003,1,0,NONE,HIGH
pl_0184,match_ed_2025_clausura_f04_p014,team_0005,1,0,NONE,HIGH
pl_0100,match_ed_2025_clausura_f04_p014,team_0005,1,0,NONE,MEDIUM
pl_0149,match_ed_2025_clausura_f04_p015,team_0012,1,0,NONE,HIGH
pl_0001,match_ed_2025_clausura_f04_p016,team_0004,1,0,NONE,HIGH
