:START_ID,:END_ID
pl_0012,awardrec_ed_2024_apertura_best_player
pl_0184,awardrec_ed_2024_clausura_best_player
pl_0166,awardrec_ed_2025_apertura_best_player
pl_0169,awardrec_ed_2025_clausura_best_player
pl_0148,awardrec_ed_2024_apertura_best_goalkeeper
pl_0082,awardrec_ed_2024_clausura_best_goalkeeper
pl_0089,awardrec_ed_2025_apertura_best_goalkeeper
pl_0082,awardrec_ed_2025_clausura_best_goalkeeper
pl_0075,awardrec_ed_2024_apertura_golden_boot_1
pl_0021,awardrec_ed_2024_clausura_golden_boot_1
pl_0005,awardrec_ed_2024_clausura_golden_boot_2
pl_0184,awardrec_ed_2025_apertura_golden_boot_1
pl_0073,awardrec_ed_2025_apertura_golden_boot_2
pl_0075,awardrec_ed_2025_clausura_golden_boot_1
pl_0169,awardrec_ed_2025_clausura_golden_boot_2
