:START_ID,:END_ID
team_0001,team_0001_canonical
team_0002,team_0002_canonical
team_0003,team_0003_canonical
team_0004,team_0004_canonical
team_0005,team_0005_canonical
team_0006,team_0006_canonical
team_0007,team_0007_canonical
team_0008,team_0008_canonical
team_0009,team_0009_canonical
team_0010,team_0010_canonical
team_0011,team_0011_canonical
team_0012,team_0012_canonical
team_0003,team_0003_alias_1
team_0005,team_0005_alias_1
team_0006,team_0006_alias_1
team_0008,team_0008_alias_1
team_0009,team_0009_alias_1
team_0011,team_0011_alias_1
team_0012,team_0012_alias_1
team_0009,team_0009_alias_2
team_0011,team_0011_alias_2
